Time,Accel,Brake,Car_Speed,Car_Status,Bike_Status,Bike_Distance
1.4846,1.0000,0.0000,0.0000,False,False,0.0000
1.5000,1.0000,0.0000,0.0000,False,False,0.0000
1.5144,1.0000,0.0000,0.0000,False,False,0.0000
1.5283,1.0000,0.0000,0.0000,False,False,0.0000
1.5429,1.0000,0.0000,0.0000,False,False,0.0000
1.5660,1.0000,0.0000,0.0000,False,False,0.0000
1.5802,1.0000,0.0000,0.0000,False,False,0.0000
1.5949,1.0000,0.0000,0.0000,False,False,0.0000
1.6085,1.0000,0.0000,0.0000,False,False,0.0000
1.6311,1.0000,0.0000,0.0000,False,False,0.0000
1.6459,1.0000,0.0000,0.0000,False,False,0.0000
1.6607,1.0000,0.0000,0.0000,False,False,0.0000
1.6755,1.0000,0.0000,0.0000,False,False,0.0000
1.6978,1.0000,0.0000,0.0000,False,False,0.0000
1.7123,1.0000,0.0000,0.0000,False,False,0.0000
1.7271,1.0000,0.0000,0.0000,False,False,0.0000
1.7415,1.0000,0.0000,0.0000,False,False,0.0000
1.7645,1.0000,0.0000,0.0000,False,False,0.0000
1.7790,1.0000,0.0000,0.0000,False,False,0.0000
1.7940,1.0000,0.0000,0.0000,False,False,0.0000
1.8086,1.0000,0.0000,0.0000,False,False,0.0000
1.8317,1.0000,0.0000,0.0000,False,False,0.0000
1.8462,1.0000,0.0000,0.0000,False,False,0.0000
1.8610,1.0000,0.0000,0.0000,False,False,0.0000
1.8755,1.0000,0.0000,0.0000,False,False,0.0000
1.8974,1.0000,0.0000,0.0000,False,False,0.0000
1.9117,1.0000,0.0000,0.0000,False,False,0.0000
1.9266,1.0000,0.0000,0.0000,False,False,0.0000
1.9412,1.0000,0.0000,0.0000,False,False,0.0000
1.9641,1.0000,0.0000,0.0000,False,False,0.0000
1.9784,1.0000,0.0000,0.0000,False,False,0.0000
1.9923,1.0000,0.0000,0.0000,False,False,0.0000
2.0147,1.0000,0.0000,0.0000,False,False,0.0000
2.0295,1.0000,0.0000,0.0000,False,False,0.0000
2.0438,1.0000,0.0000,0.0000,False,False,0.0000
2.0589,1.0000,0.0000,0.0000,False,False,0.0000
2.0806,1.0000,0.0000,0.0000,False,False,0.0000
2.0958,1.0000,0.0000,0.0000,False,False,0.0000
2.1095,1.0000,0.0000,0.0000,False,False,0.0000
2.1324,1.0000,0.0000,0.0000,False,False,0.0000
2.1468,1.0000,0.0000,0.0000,False,False,0.0000
2.1618,1.0000,0.0000,0.0000,False,False,0.0000
2.1764,1.0000,0.0000,0.0000,False,False,0.0000
2.1986,1.0000,0.0000,0.0000,False,False,0.0000
2.2134,1.0000,0.0000,0.0000,False,False,0.0000
2.2281,1.0000,0.0000,0.0000,False,False,0.0000
2.2429,1.0000,0.0000,0.0000,False,False,0.0000
2.2602,1.0000,0.0000,0.0000,False,False,0.0000
2.2751,1.0000,0.0000,0.0000,False,False,0.0000
2.2968,1.0000,0.0000,0.0000,False,False,0.0000
2.3121,1.0000,0.0000,0.0000,False,False,0.0000
2.3268,1.0000,0.0000,0.0000,False,False,0.0000
2.3492,1.0000,0.0000,0.0000,False,False,0.0000
2.3643,1.0000,0.0000,0.0000,False,False,0.0000
2.3792,1.0000,0.0000,0.0000,False,False,0.0000
2.3932,1.0000,0.0000,0.0000,False,False,0.0000
2.4163,1.0000,0.0000,0.0000,False,False,0.0000
2.4308,1.0000,0.0000,0.0000,False,False,0.0000
2.4457,1.0000,0.0000,0.0000,False,False,0.0000
2.4608,1.0000,0.0000,0.0000,False,False,0.0000
2.4757,1.0000,0.0000,0.0000,False,False,0.0000
2.4979,1.0000,0.0000,0.0000,False,False,0.0000
2.5130,1.0000,0.0000,0.0000,False,False,0.0000
2.5275,1.0000,0.0000,0.0000,False,False,0.0000
2.5425,1.0000,0.0000,0.0000,False,False,0.0000
2.5657,1.0000,0.0000,0.0000,False,False,0.0000
2.5807,1.0000,0.0000,0.0000,False,False,0.0000
2.5956,1.0000,0.0000,0.0000,False,False,0.0000
2.6096,1.0000,0.0000,0.0000,False,False,0.0000
2.6330,1.0000,0.0000,0.0000,False,False,0.0000
2.6477,1.0000,0.0000,0.0000,False,False,0.0000
2.6628,1.0000,0.0000,0.0000,False,False,0.0000
2.6780,1.0000,0.0000,0.0000,False,False,0.0000
2.6924,1.0000,0.0000,0.0000,False,False,0.0000
2.7156,1.0000,0.0000,0.0000,False,False,0.0000
2.7305,1.0000,0.0000,0.0000,False,False,0.0000
2.7458,1.0000,0.0000,0.0000,False,False,0.0000
2.7605,1.0000,0.0000,0.0000,False,False,0.0000
2.7758,1.0000,0.0000,0.0000,False,False,0.0000
2.7984,1.0000,0.0000,0.0000,False,False,0.0000
2.8135,1.0000,0.0000,0.0000,False,False,0.0000
2.8282,1.0000,0.0000,0.0000,False,False,0.0000
2.8436,1.0000,0.0000,0.0000,False,False,0.0000
2.8585,1.0000,0.0000,0.0000,False,False,0.0000
2.8809,1.0000,0.0000,0.0000,False,False,0.0000
2.8961,1.0000,0.0000,0.0000,False,False,0.0000
2.9100,1.0000,0.0000,0.0000,False,False,0.0000
2.9252,1.0000,0.0000,0.0000,False,False,0.0000
2.9489,1.0000,0.0000,0.0000,False,False,0.0000
2.9638,1.0000,0.0000,0.0000,False,False,0.0000
2.9793,1.0000,0.0000,0.0000,False,False,0.0000
2.9932,1.0000,0.0000,0.0000,False,False,0.0000
3.0082,1.0000,0.0000,0.0000,False,False,0.0000
3.0319,1.0000,0.0000,0.0000,False,False,0.0000
3.0475,1.0000,0.0000,0.0000,False,False,0.0000
3.0622,1.0000,0.0000,0.0000,False,False,0.0000
3.0774,1.0000,0.0000,0.0000,False,False,0.0000
3.0993,1.0000,0.0000,0.0000,False,False,0.0000
3.1143,1.0000,0.0000,0.0000,False,False,0.0000
3.1290,1.0000,0.0000,0.0000,False,False,0.0000
3.1440,1.0000,0.0000,0.0000,False,False,0.0000
3.1588,1.0000,0.0000,0.0000,False,False,0.0000
3.1811,1.0000,0.0000,0.0000,False,False,0.0000
3.1962,1.0000,0.0000,0.0000,False,False,0.0000
3.2101,1.0000,0.0000,0.0000,False,False,0.0000
3.2252,1.0000,0.0000,0.0000,False,False,0.0000
3.2485,1.0000,0.0000,0.0000,False,False,0.0000
3.2633,1.0000,0.0000,0.0000,False,False,0.0000
3.2785,1.0000,0.0000,0.0000,False,False,0.0000
3.2923,1.0000,0.0000,0.0000,False,False,0.0000
3.3157,1.0000,0.0000,0.0000,False,False,0.0000
3.3307,1.0000,0.0000,0.0000,False,False,0.0000
3.3459,1.0000,0.0000,0.0000,False,False,0.0000
3.3607,1.0000,0.0000,0.0000,False,False,0.0000
3.3758,1.0000,0.0000,0.0000,False,False,0.0000
3.3979,1.0000,0.0000,0.0000,False,False,0.0000
3.4131,1.0000,0.0000,0.0000,False,False,0.0000
3.4278,1.0000,0.0000,0.0000,False,False,0.0000
3.4430,1.0000,0.0000,0.0000,False,False,0.0000
3.4664,1.0000,0.0000,0.0000,False,False,0.0000
3.4813,1.0000,0.0000,0.0000,False,False,0.0000
3.4961,1.0000,0.0000,0.0000,False,False,0.0000
3.5107,1.0000,0.0000,0.0000,False,False,0.0000
3.5263,1.0000,0.0000,0.0000,False,False,0.0000
3.5495,1.0000,0.0000,0.0000,False,False,0.0000
3.5643,1.0000,0.0000,0.0000,False,False,0.0000
3.5794,1.0000,0.0000,0.0000,False,False,0.0000
3.5934,1.0000,0.0000,0.0000,False,False,0.0000
3.6087,1.0000,0.0000,0.0000,False,False,0.0000
3.6314,1.0000,0.0000,0.0000,False,False,0.0000
3.6465,1.0000,0.0000,0.0000,False,False,0.0000
3.6612,1.0000,0.0000,0.0000,False,False,0.0000
3.6766,1.0000,0.0000,0.0000,False,False,0.0000
3.6994,1.0000,0.0000,0.0000,False,False,0.0000
3.7144,1.0000,0.0000,0.0000,False,False,0.0000
3.7298,1.0000,0.0000,0.0000,False,False,0.0000
3.7446,1.0000,0.0000,0.0000,False,False,0.0000
3.7594,1.0000,0.0000,0.0000,False,False,0.0000
3.7826,1.0000,0.0000,0.0000,False,False,0.0000
3.7983,1.0000,0.0000,0.0000,False,False,0.0000
3.8130,1.0000,0.0000,0.0000,False,False,0.0000
3.8282,1.0000,0.0000,0.0000,False,False,0.0000
3.8437,1.0000,0.0000,0.0000,False,False,0.0000
3.8588,1.0000,0.0000,0.0000,False,False,0.0000
3.8814,1.0000,0.0000,0.0000,False,False,0.0000
3.8967,1.0000,0.0000,0.0000,False,False,0.0000
3.9110,1.0000,0.0000,0.0000,False,False,0.0000
3.9261,1.0000,0.0000,0.0000,False,False,0.0000
3.9496,1.0000,0.0000,0.0000,False,False,0.0000
3.9658,1.0000,0.0000,0.0000,False,False,0.0000
3.9818,1.0000,0.0000,0.0000,False,False,0.0000
3.9976,1.0000,0.0000,0.0000,False,False,0.0000
4.0116,1.0000,0.0000,0.0000,False,False,0.0000
4.0269,1.0000,0.0000,0.0000,False,False,0.0000
4.0424,1.0000,0.0000,0.0000,False,False,0.0000
4.0660,1.0000,0.0000,0.0000,False,False,0.0000
4.0808,1.0000,0.0000,0.0000,False,False,0.0000
4.0962,1.0000,0.0000,0.0000,False,False,0.0000
4.1103,1.0000,0.0000,0.0000,False,False,0.0000
4.1250,1.0000,0.0000,0.0000,False,False,0.0000
4.1484,1.0000,0.0000,0.0000,False,False,0.0000
4.1634,1.0000,0.0000,0.0000,False,False,0.0000
4.1788,1.0000,0.0000,0.0000,False,False,0.0000
4.1932,1.0000,0.0000,0.0000,False,False,0.0000
4.2091,1.0000,0.0000,0.0000,False,False,0.0000
4.2244,1.0000,0.0000,0.0000,False,False,0.0000
4.2483,1.0000,0.0000,0.0000,False,False,0.0000
4.2645,1.0000,0.0000,0.0000,False,False,0.0000
4.2804,1.0000,0.0000,0.0000,False,False,0.0000
