Time,Accel,Brake,Car_Speed,Car_AutoSpeed,Car_AutoStatus,Bike_A_Status,Bike_B_Status,Bike_C_Status,Bike_D_Status,Bike_Distance,Vibrate_Status,BPM
1.3090,0.0000,0.0000,0.0004,0.0000,False,False,False,False,False,0.0000,False,True
1.3405,0.0000,0.0000,0.0001,0.0000,False,False,False,False,False,0.0000,False,True
1.3733,0.0000,0.0000,0.0001,0.0000,False,False,False,False,False,0.0000,False,True
1.4045,0.0000,0.0000,0.0001,0.0000,False,False,False,False,False,0.0000,False,True
1.4353,0.0000,0.0000,0.0001,0.0000,False,False,False,False,False,0.0000,False,True
1.4650,0.0000,0.0000,0.0001,0.0000,False,False,False,False,False,0.0000,False,True
1.5007,0.0000,0.0000,0.0001,0.0000,False,False,False,False,False,0.0000,False,True
1.5330,0.0000,0.0000,0.0001,0.0000,False,False,False,False,False,0.0000,False,True
1.5652,0.0000,0.0000,0.0001,0.0000,False,False,False,False,False,0.0000,False,True
1.5963,0.0000,0.0000,0.0001,0.0000,False,False,False,False,False,0.0000,False,True
1.6274,0.0000,0.0000,0.0001,0.0000,False,False,False,False,False,0.0000,False,True
1.6591,0.0000,0.0000,0.0000,0.0000,False,False,False,False,False,0.0000,False,True
1.6956,0.0000,0.0000,0.0000,0.0000,False,False,False,False,False,0.0000,False,True
1.7276,0.0000,0.0000,0.0000,0.0000,False,False,False,False,False,0.0000,False,True
1.7580,0.0000,0.0000,0.0000,0.0000,False,False,False,False,False,0.0000,False,True
1.7894,0.0000,0.0000,0.0000,0.0000,False,False,False,False,False,0.0000,False,True
1.8194,0.0000,0.0000,0.0000,0.0000,False,False,False,False,False,0.0000,False,True
1.8507,0.0000,0.0000,0.0000,0.0000,False,False,False,False,False,0.0000,False,True
1.8870,0.0000,0.0000,0.0000,0.0000,False,False,False,False,False,0.0000,False,True
1.9200,0.0000,0.0000,0.0000,0.0000,False,False,False,False,False,0.0000,False,True
1.9514,0.0000,0.0000,0.0000,0.0000,False,False,False,False,False,0.0000,False,True
1.9827,0.0000,0.0000,0.0000,0.0000,False,False,False,False,False,0.0000,False,True
2.0126,0.0000,0.0000,0.0000,0.0000,False,False,False,False,False,0.0000,False,True
2.0437,0.0000,0.0000,0.0000,0.0000,False,False,False,False,False,0.0000,False,True
2.0802,0.0000,0.0000,0.0000,0.0000,False,False,False,False,False,0.0000,False,True
2.1115,0.0000,0.0000,0.0000,0.0000,False,False,False,False,False,0.0000,False,True
2.1411,0.0000,0.0000,0.0000,0.0000,False,False,False,False,False,0.0000,False,True
2.1755,0.0000,0.0000,0.0000,0.0000,False,False,False,False,False,0.0000,False,True
2.2095,0.0000,0.0000,0.0000,0.0000,False,False,False,False,False,0.0000,False,True
2.2413,0.0000,0.0000,0.0000,0.0000,False,False,False,False,False,0.0000,False,True
2.2769,0.0000,0.0000,0.0000,0.0000,False,False,False,False,False,0.0000,False,True
2.3087,0.0000,0.0000,0.0001,0.0000,False,False,False,False,False,0.0000,False,True
2.3405,0.0000,0.0000,0.0000,0.0000,False,False,False,False,False,0.0000,False,True
2.3727,0.0000,0.0000,0.0000,0.0000,False,False,False,False,False,0.0000,False,True
2.4051,0.0000,0.0000,0.0001,0.0000,False,False,False,False,False,0.0000,False,True
2.4369,0.0000,0.0000,0.0000,0.0000,False,False,False,False,False,0.0000,False,True
2.4712,0.0000,0.0000,0.0000,0.0000,False,False,False,False,False,0.0000,False,True
2.5037,0.0000,0.0000,0.0000,0.0000,False,False,False,False,False,0.0000,False,True
2.5361,0.0000,0.0000,0.0000,0.0000,False,False,False,False,False,0.0000,False,True
2.5685,0.0000,0.0000,0.0001,0.0000,False,False,False,False,False,0.0000,False,True
2.6012,0.0000,0.0000,0.0000,0.0000,False,False,False,False,False,0.0000,False,True
2.6359,0.0000,0.0000,0.0000,0.0000,False,False,False,False,False,0.0000,False,True
2.6945,0.0000,0.0000,0.0000,0.0000,False,False,False,False,False,0.0000,False,True
2.7290,0.0000,0.0000,0.0000,0.0000,False,False,False,False,False,0.0000,False,True
2.7678,0.5000,0.5000,0.0000,0.0000,False,False,False,False,False,0.0000,False,True
